provider_id,hos_name,state_city,city_id,total_discharge,covered_charge,total_payment,medicare_payment
20001,PROVIDENCE ALASKA MEDICAL CENTER,AK-ANCHORAGE,16,2719,142959285,37105170,32955944
20006,MAT-SU REGIONAL MEDICAL CENTER,AK-PALMER,1289,694,28709012,8103966,6846052
20008,BARTLETT REGIONAL HOSPITAL,AK-JUNEAU,2272,177,4215299,2198037,1995018
20012,FAIRBANKS MEMORIAL HOSPITAL,AK-FAIRBANKS,759,526,19527644,10392979,9427460.001
20017,ALASKA REGIONAL HOSPITAL,AK-ANCHORAGE,16,832,57309476,12768121,10338783
20018,YUKON KUSKOKWIM DELTA REG HOSPITAL,AK-BETHEL,2151,92,660240,845606,757098
20024,CENTRAL PENINSULA GENERAL HOSPITAL,AK-SOLDOTNA,1290,294,11118602,4540600,4139614
20026,ALASKA NATIVE MEDICAL CENTER,AK-ANCHORAGE,16,724,23920900,12018422,11212586
20027,MT EDGECUMBE HOSPITAL,AK-SITKA,2351,33,418486,218375,187451
30001,MARYVALE HOSPITAL,AZ-PHOENIX,20,210,5523697,2272387,2106888
30002,BANNER GOOD SAMARITAN MEDICAL CENTER,AZ-PHOENIX,20,3245,153796009,39417475,33946801
30006,TUCSON MEDICAL CENTER,AZ-TUCSON,17,4362,138757144,46199389,40678180
30007,VERDE VALLEY MEDICAL CENTER,AZ-COTTONWOOD,18,1078,64494786,14957984,13484184
30010,CARONDELET ST  MARYS HOSPITAL,AZ-TUCSON,17,1624,61306270,16061606,14227776
30011,CARONDELET ST JOSEPH'S HOSPITAL,AZ-TUCSON,17,2746,107982728,24034649,20772499
30012,YAVAPAI REGIONAL MEDICAL CENTER,AZ-PRESCOTT,19,2424,84441388,24688355,21221158
30013,YUMA REGIONAL MEDICAL CENTER,AZ-YUMA,760,4021,142247197,38908666,35041221
30014,JOHN C LINCOLN NORTH MOUNTAIN HOSPITAL,AZ-PHOENIX,20,2277,102316260,22918728,20099855
30022,MARICOPA MEDICAL CENTER,AZ-PHOENIX,20,160,9937688,3620624,3483765
30023,FLAGSTAFF MEDICAL CENTER,AZ-FLAGSTAFF,1009,2213,102071374,42922614,39600547
30024,ST JOSEPH'S HOSPITAL AND MEDICAL CENTER,AZ-PHOENIX,20,2284,125890543,32456799,27550427
30030,PHOENIX BAPTIST HOSPITAL,AZ-PHOENIX,20,1351,61608769,18492186,16528233
30033,PAYSON REGIONAL MEDICAL CENTER,AZ-PAYSON,1720,616,33103998,5758662,5057069
30036,CHANDLER REGIONAL MEDICAL CENTER,AZ-CHANDLER,1010,2528,132763950,24334976,20797461
30037,ST LUKES MEDICAL CENTER,AZ-PHOENIX,20,547,33689077,6856318.001,6023070.001
30038,SCOTTSDALE HEALTHCARE-OSBORN MEDICAL CENTER,AZ-SCOTTSDALE,25,2608,120739298,27355378,21731098
30043,SIERRA VISTA REGIONAL HEALTH CENTER INC,AZ-SIERRA VISTA,1721,1101,27205055,10539210,9385145.001
30055,KINGMAN REGIONAL MEDICAL CENTER,AZ-KINGMAN,1291,2138,94331360,23360246,20658932
30061,BANNER BOSWELL MEDICAL CENTER,AZ-SUN CITY,21,5532,220125785,44873437,38438183
30062,SUMMIT HEALTHCARE REGIONAL MEDICAL CENTER,AZ-SHOW LOW,22,538,19699232,7227025,6497354
30064,"UNIVERSITY OF ARIZONA MEDICAL CTR-UNIVERSITY, THE",AZ-TUCSON,17,2318,114228597,35648510,32840081
30065,BANNER DESERT MEDICAL CENTER,AZ-MESA,23,3449,128453056,34936258,29659735
30067,LA PAZ REGIONAL HOSPITAL,AZ-PARKER,2273,53,975456.0001,456076,399172
30068,MT GRAHAM REGIONAL MEDICAL CENTER,AZ-SAFFORD,2152,192,4361699,2103004,1804961
30069,HAVASU REGIONAL MEDICAL CENTER,AZ-LAKE HAVASU CIT,24,1960,86282937,17756517,15145460
30071,FORT DEFIANCE INDIAN HOSPITAL,AZ-FORT DEFIANCE,2274,180,1481372,1252346,1093970
30073,TUBA CITY REGIONAL HEALTH CARE CORPORATION,AZ-TUBA CITY,2275,190,2891359,2288058,2097940
30078,PHOENIX INDIAN MEDICAL CENTER,AZ-PHOENIX,20,12,102617,117194,105730
30083,PARADISE VALLEY HOSPITAL,AZ-PHOENIX,20,372,12164126,3623482,3002009
30084,CHINLE COMPREHENSIVE HEALTH CARE FACILITY,AZ-CHINLE,2276,126,862842,799086,676411
30085,NORTHWEST MEDICAL CENTER,AZ-TUCSON,17,3342,152875684,27036912,22965244
30087,SCOTTSDALE HEALTHCARE-SHEA MEDICAL CENTER,AZ-SCOTTSDALE,25,3385,158463845,32385690,26014097
30088,BANNER BAYWOOD MEDICAL CENTER,AZ-MESA,23,5163,190783907,41854215,35660467
30089,BANNER THUNDERBIRD MEDICAL CENTER,AZ-GLENDALE,761,3562,139595659,34924331,28733598
30092,JOHN C LINCOLN DEER VALLEY HOSPITAL,AZ-PHOENIX,20,1586,70430082,14850115,12413240
30093,BANNER DEL E WEBB MEDICAL CENTER,AZ-SUN CITY WEST,762,4074,160876712,32261035,27631596
30094,ARROWHEAD HOSPITAL,AZ-GLENDALE,761,1361,46990914,14017640,11997978
30100,CARONDELET HEART AND VASCULAR INSTITUTE,AZ-TUCSON,17,272,10405680,2229415,1948241
30101,WESTERN ARIZONA REGIONAL MEDICAL CTR,AZ-BULLHEAD CITY,26,1987,169466166,17907598,15451622
30103,MAYO CLINIC HOSPITAL,AZ-PHOENIX,20,3491,118132813,44958100,36491826
30105,BANNER HEART HOSPITAL,AZ-MESA,23,1516,71846157,13267116,11164300
30107,ARIZONA SPINE AND JOINT HOSPITAL,AZ-MESA,23,319,13806462,3790923.999,3438613.001
30108,SURGICAL SPECIALTY HOSPITAL OF ARIZONA,AZ-PHOENIX,20,246,8432365,3297229,2945338
30110,WEST VALLEY HOSPITAL,AZ-GOODYEAR,1011,1365,41925611,12265426,10542260
30111,"UNIVERSITY OF ARIZONA MEDICAL CTR- SOUTH CAM, THE",AZ-TUCSON,17,545,13515444,6075668,5605230
30112,ARIZONA ORTHOPEDIC SURGICAL HOSPITAL,AZ-CHANDLER,1010,188,10243828,2261969,1930270.001
30113,WHITERIVER PHS INDIAN HOSPITAL,AZ-WHITERIVER,2277,79,593252,513779,442395
30114,ORO VALLEY HOSPITAL,AZ-ORO VALLEY,1292,1277,51150668,9705968.001,8257687.999
30115,BANNER ESTRELLA MEDICAL CENTER,AZ-PHOENIX,20,1775,73005430,17559636,14913736
30117,VALLEY VIEW MEDICAL CENTER,AZ-FORT MOHAVE,1655,478,20248834,3413653,2763117
30118,YAVAPAI REGIONAL MEDICAL CENTER-EAST,AZ-PRESCOTT VALLEY,1293,575,16387324,5784569,4835013
30119,MERCY GILBERT MEDICAL CENTER,AZ-GILBERT,1012,1940,106316107,18775435,15808041
30120,GILBERT HOSPITAL,AZ-GILBERT,1012,87,1827281,483634,365444
30121,"MOUNTAIN VISTA MEDICAL CENTER, LP",AZ-MESA,23,1409,77625378,15390610,12981322
30122,BANNER GATEWAY MEDICAL CENTER,AZ-GILBERT,1012,1434,60441462,13527284,11153330
30123,SCOTTSDALE HEALTHCARE-THOMPSON PEAK HOSPITAL,AZ-SCOTTSDALE,25,616,29028163,6010194,4782548
30126,ARIZONA REGIONAL MEDICAL CENTER,AZ-MESA,23,357,16314235,3234800,2812714
30130,BANNER IRONWOOD MEDICAL CENTER,AZ-SAN TAN VALLEY,2021,90,2999157,697777,497954
30131,OASIS HOSPITAL,AZ-PHOENIX,20,690,24755816,8183013.001,6843604
40001,SILOAM SPRINGS REGIONAL HOSPITAL,AR-SILOAM SPRINGS,1294,473,11143585,2926368,2380350
40002,JOHNSON REGIONAL MEDICAL CENTER,AR-CLARKSVILLE,1295,343,2894596,1988126,1588024
40004,WASHINGTON REGIONAL MED CTR AT NORTH HILLS,AR-FAYETTEVILLE,27,3407,106453253,28955241,23767596
40007,ST VINCENT INFIRMARY MEDICAL CENTER,AR-LITTLE ROCK,28,5809,188758927,54096880,46891814
40010,MERCY MEDICAL CENTER,AR-ROGERS,29,1986,47138672,15786929,13369571
40011,CHAMBERS MEMORIAL HOSPITAL,AR-DANVILLE,1296,781,4538175,4448533,3922193
40014,WHITE COUNTY MEDICAL CENTER,AR-SEARCY,763,4159,88127927,30698105,26070213
40015,MENA REGIONAL HEALTH SYSTEM,AR-MENA,2022,319,3911246,1936297,1704753
40016,UAMS MEDICAL CENTER,AR-LITTLE ROCK,28,3339,83012264,37335574,33389300
40017,NORTH ARKANSAS REGIONAL MEDICAL CENTER,AR-HARRISON,1297,1347,25624443,9627432,8261090
40018,SUMMIT MEDICAL CENTER,AR-VAN BUREN,2023,267,8327297,1279243,1010274
40019,FORREST CITY MEDICAL CENTER,AR-FORREST CITY,2024,205,3068773,1030624,856924
40020,ST BERNARDS MEDICAL CENTER,AR-JONESBORO,30,5118,68872037,45326015,40143438
40022,"NW ARKANSAS HOSPITALS, LLC",AR-SPRINGDALE,31,3605,153051806,28692633,24140954
40026,ST JOSEPHS MERCY HEALTH CENTER INC,AR-HOT SPRINGS,32,3823,116697390,30803086,26699620
40027,BAXTER REGIONAL MEDICAL CENTER,AR-MOUNTAIN HOME,33,3706,64620911,25752863,21907507
40029,CONWAY REGIONAL MEDICAL CENTER,AR-CONWAY,34,2369,48295623,17953419,15562134
40036,BAPTIST HEALTH MEDICAL CENTER NORTH LITTLE ROCK,AR-NORTH LITTLE RO,35,3693,81789676,26073994,22120524
40039,ARKANSAS METHODIST MEDICAL CENTER,AR-PARAGOULD,1013,1307,19486965,7946039,6773819
40041,ST MARYS REGIONAL MEDICAL CENTER,AR-RUSSELLVILLE,1014,1616,54554190,11580824,9795086
40042,CRITTENDEN MEMORIAL HOSPITAL,AR-WEST MEMPHIS,1298,730,18043776,5952618,5341247
40047,FIVE RIVERS MEDICAL CENTER,AR-POCAHONTAS,1656,168,1864205,1093644,951888
40050,OUACHITA COUNTY MEDICAL CENTER,AR-CAMDEN,764,433,6495348,2501529,2106152
40051,DREW MEMORIAL HOSPITAL,AR-MONTICELLO,1299,597,4433494,3118293,2598484
40055,SPARKS REGIONAL MEDICAL CENTER,AR-FORT SMITH,36,4453,120943825,33991694,28856909
40062,ST EDWARD MERCY MEDICAL CENTER,AR-FORT SMITH,36,3441,95001526,28852815,24129102
40067,MAGNOLIA HOSPITAL,AR-MAGNOLIA,1300,358,3867290,2088030,1806209
40069,GREAT RIVER MEDICAL CENTER,AR-BLYTHEVILLE,1817,317,3937714,2933484,2626960
40071,JEFFERSON REGIONAL MEDICAL CENTER,AR-PINE BLUFF,765,2133,77294063,18059021,16032858
40072,BAPTIST HEALTH MEDICAL CENTER-STUTTGART,AR-STUTTGART,1301,517,5250350,3263153,2800582
40074,NORTH METRO MEDICAL CENTER,AR-JACKSONVILLE,1901,288,4248919,1530951,1310339
40076,HOT SPRING COUNTY MEDICAL CENTER,AR-MALVERN,1302,672,8791985,3524207,2986819
40078,NATIONAL PARK MEDICAL CENTER,AR-HOT SPRINGS,32,1636,91363585,13102321,11341713
40080,HARRIS HOSPITAL,AR-NEWPORT,1818,557,12880732,3196712,2775548
40084,SALINE MEMORIAL HOSPITAL,AR-BENTON,1303,1700,30859506,11764577,10104435
40085,HELENA REGIONAL MEDICAL CENTER,AR-HELENA,1304,379,10365832,2247513,1835120
40088,MEDICAL CENTER SOUTH ARKANSAS,AR-EL DORADO,37,1492,58446038,11062819,9373154.001
40091,MEDICAL PARK HOSPITAL,AR-HOPE,1305,370,6743263,2452405,2201481
40114,BAPTIST HEALTH MEDICAL CENTER-LITTLE ROCK,AR-LITTLE ROCK,28,7689,215233029,63423442,53710087
40118,NEA BAPTIST MEMORIAL HOSPITAL,AR-JONESBORO,30,1985,56792592,17325328,15176526
40119,WHITE RIVER MEDICAL CENTER,AR-BATESVILLE,38,2396,68183925,20824375,18380901
40134,ARKANSAS HEART HOSPITAL,AR-LITTLE ROCK,28,3529,104608965,29820751,25748822
40137,ST VINCENT MEDICAL CENTER/NORTH,AR-SHERWOOD,1657,494,10058117,2724141,2247439
40147,ARKANSAS SURGICAL HOSPITAL,AR-NO LITTLE ROCK,2357,1308,39967501,14092523,11377043
40152,PHYSICIANS' SPECIALTY HOSPITAL,AR-FAYETTEVILLE,27,217,10092405,2627475,2256318
50002,ST ROSE HOSPITAL,CA-HAYWARD,1015,1290,118074491,19920748,18720110
50006,ST JOSEPH HOSPITAL,CA-EUREKA,39,1435,88428555,20075137,18359033
50007,PENINSULA MEDICAL CENTER,CA-BURLINGAME,766,2320,140067476,27721213,24610824
50008,CALIFORNIA PACIFIC MEDICAL CTR-DAVIES CAMPUS HOSP,CA-SAN FRANCISCO,82,242,19856996,3170860,2888800
50009,QUEEN OF THE VALLEY MEDICAL CENTER,CA-NAPA,1016,1819,147173914,23758496,21622100
50013,ST HELENA HOSPITAL,CA-SAINT HELENA,40,1715,151468987,28466683,25954164
50014,SUTTER AMADOR HOSPITAL,CA-JACKSON,1017,546,21868439,5491814,4953935
50016,"MARIAN REGIONAL MEDICAL CENTER, ARROYO GRANDE",CA-ARROYO GRANDE,1306,769,40098358,7178566,6317867.999
50017,MERCY GENERAL HOSPITAL,CA-SACRAMENTO,41,2783,224719257,43014397,35551861
50018,PACIFIC ALLIANCE MEDICAL CENTER,CA-LOS ANGELES,67,728,21734366,9926950,9366543
50022,RIVERSIDE COMMUNITY HOSPITAL,CA-RIVERSIDE,42,3097,253663518,41296428,36406048
50024,PARADISE VALLEY HOSPITAL,CA-NATIONAL CITY,1018,3186,120044546,33313197,30802374
50025,UNIVERSITY OF CALIFORNIA SAN DIEGO MEDICAL CENTER,CA-SAN DIEGO,48,3152,157371740,59693886,56829198
50026,GROSSMONT HOSPITAL,CA-LA MESA,43,5465,333589082,60182958,52791296
50028,MAD RIVER COMMUNITY HOSPITAL,CA-ARCATA,1954,239,6671218,1900402,1626980
50030,OROVILLE HOSPITAL,CA-OROVILLE,1307,2606,122798434,26141980,24187060
50036,BAKERSFIELD MEMORIAL HOSPITAL,CA-BAKERSFIELD,44,2200,141813261,26364247,23314928
50038,SANTA CLARA VALLEY MEDICAL CENTER,CA-SAN JOSE,772,1137,80398110,28494003,27500756
50039,ENLOE MEDICAL CENTER,CA-CHICO,45,4677,271267300,48017651,43673002
50040,LAC/OLIVE VIEW-UCLA MEDICAL CENTER,CA-SYLMAR,2278,215,9488202,4027040,3876660
50042,ST ELIZABETH COMMUNITY HOSPITAL,CA-RED BLUFF,1308,741,29592802,7350702,6678860
50043,ALTA BATES SUMMIT MEDICAL CENTER,CA-OAKLAND,767,3366,253367828,51890444,47656634
50045,EL CENTRO REGIONAL MEDICAL CENTER,CA-EL CENTRO,1019,1712,83310318,19520476,18095350
50046,OJAI VALLEY COMMUNITY HOSPITAL,CA-OJAI,2279,73,3471657,830345,757924.9999
50047,CALIFORNIA PACIFIC MEDICAL CTR-PACIFIC CAMPUS HOSP,CA-SAN FRANCISCO,82,2917,236872702,52194715,46622241
50054,SAN GORGONIO MEMORIAL HOSPITAL,CA-BANNING,1309,386,12190091,3615264,3284929
50055,CALIFORNIA PACIFIC MEDICAL CTR - ST. LUKE'S CAMPUS,CA-SAN FRANCISCO,82,424,27929761,6404124,5908660
50056,ANTELOPE VALLEY HOSPITAL MED CENTER,CA-LANCASTER,768,2871,129830838,34154231,30784077
50057,KAWEAH DELTA MEDICAL CENTER,CA-VISALIA,46,4639,222373243,55645227,49731086
50058,GLENDALE MEM HOSPITAL & HLTH CENTER,CA-GLENDALE,66,2469,175953097,36083924,33766828
50060,COMMUNITY REGIONAL MEDICAL CENTER,CA-FRESNO,51,5181,240003297,72819023,67466208
50063,HOLLYWOOD PRESBYTERIAN MEDICAL CENTER,CA-LOS ANGELES,67,1828,118454317,31537485,29964701
50067,OAK VALLEY DISTRICT HOSPITAL,CA-OAKDALE,2025,53,2650009,635956,520027
50069,ST JOSEPH HOSPITAL,CA-ORANGE,47,2620,171041896,35113047,31341904
50070,KAISER FOUNDATION HOSPITAL - SOUTH SAN FRANCISCO,CA-SOUTH SAN FRANC,2392,40,1246973,502554.0001,466886.0001
50071,KAISER FOUNDATION HOSPITAL-SANTA CLARA,CA-SANTA CLARA,1020,151,6089122,2970530,2834938
50072,KAISER FOUNDATION HOSPITAL - WALNUT CREEK,CA-WALNUT CREEK,773,88,3540554,1117613,1042905
50073,KAISER FOUNDATION HOSPITAL AND REHAB CENTER,CA-VALLEJO,1021,208,9154328,2439258,2281606
50075,KAISER FOUNDATION HOSPITAL OAKLAND/RICHMOND,CA-OAKLAND,767,248,10051055,4023365,3812127
50076,KAISER FOUNDATION HOSPITAL - SAN FRANCISCO,CA-SAN FRANCISCO,82,97,3899065,1955770,1881182
50077,SCRIPPS MERCY HOSPITAL,CA-SAN DIEGO,48,4925,317352401,64496915,58591836
50078,PROVIDENCE LITTLE CO OF MARY MED CTR SAN PEDRO,CA-SAN PEDRO,1022,745,54738512,8502442.001,7734007.001
50079,DOCTORS MEDICAL CENTER-SAN PABLO,CA-SAN PABLO,769,1611,106470366,20406417,19074979
50082,ST JOHNS REGIONAL MEDICAL CENTER,CA-OXNARD,49,2414,159411685,28897890,25848636
50084,ST JOSEPHS MEDICAL CENTER OF STOCKTON,CA-STOCKTON,50,3720,307937558,48333549,44256049
50089,COMMUNITY HOSPITAL OF SAN BERNARDINO,CA-SAN BERNARDINO,1026,417,25681559,5519482,5205289
50090,SONOMA VALLEY HOSPITAL,CA-SONOMA,1310,277,12211885,3479830,3219990
50091,COMMUNITY HOSPITAL OF HUNTINGTON PARK,CA-HUNTINGTON PARK,1955,298,10825714,1951842,1719357
50093,SAINT AGNES MEDICAL CENTER,CA-FRESNO,51,7127,326026564,79446620,71191856
50096,"DOCTORS HOSPITAL OF WEST COVINA, INC",CA-WEST COVINA,2370,28,1086116,321529,292677
50099,SAN ANTONIO COMMUNITY HOSPITAL,CA-UPLAND,52,2177,108379579,23157137,20960229
50100,SHARP MEMORIAL HOSPITAL,CA-SAN DIEGO,48,3132,216575713,40956021,34168379
50101,SUTTER SOLANO MEDICAL CENTER,CA-VALLEJO,1021,691,45283077,9956414,9118192
50102,PARKVIEW COMMUNITY HOSPITAL MEDICAL CENTER,CA-RIVERSIDE,42,916,65815600,14435651,13206602
50103,WHITE MEMORIAL MEDICAL CENTER,CA-LOS ANGELES,67,2400,195797975,37725105,35763370
50104,SAINT FRANCIS MEDICAL CENTER,CA-LYNWOOD,1023,1725,89875568,25159762,23725341
50107,MARIAN REGIONAL MEDICAL CENTER,CA-SANTA MARIA,53,1981,120155075,24317744,21918502
50108,SUTTER GENERAL HOSPITAL,CA-SACRAMENTO,41,4418,325526474,66642563,60831076
50110,LOMPOC VALLEY MEDICAL CENTER,CA-LOMPOC,1311,478,8251633,4402604,3870538
50111,TEMPLE COMMUNITY HOSPITAL,CA-LOS ANGELES,67,960,38659577,9318271,8603197
50112,SANTA MONICA - UCLA MED CTR & ORTHOPAEDIC HOSPITAL,CA-SANTA MONICA,69,2897,168476925,37872112,34053047
50113,SAN MATEO MEDICAL CENTER,CA-SAN MATEO,2345,11,177788,97571,88371
