provider_id,hos_name,city_id,total_discharge,covered_charge,total_payment,medicare_payment
30112,ARIZONA ORTHOPEDIC SURGICAL HOSPITAL,1010,188,10243828,2261969,1930270.001
30113,WHITERIVER PHS INDIAN HOSPITAL,2277,79,593252,513779,442395
30114,ORO VALLEY HOSPITAL,1292,1277,51150668,9705968.001,8257687.999
30115,BANNER ESTRELLA MEDICAL CENTER,20,1775,73005430,17559636,14913736
30117,VALLEY VIEW MEDICAL CENTER,1655,478,20248834,3413653,2763117
30118,YAVAPAI REGIONAL MEDICAL CENTER-EAST,1293,575,16387324,5784569,4835013
30119,MERCY GILBERT MEDICAL CENTER,1012,1940,106316107,18775435,15808041
30120,GILBERT HOSPITAL,1012,87,1827281,483634,365444
30121,"MOUNTAIN VISTA MEDICAL CENTER, LP",23,1409,77625378,15390610,12981322
30122,BANNER GATEWAY MEDICAL CENTER,1012,1434,60441462,13527284,11153330
30123,SCOTTSDALE HEALTHCARE-THOMPSON PEAK HOSPITAL,25,616,29028163,6010194,4782548
30126,ARIZONA REGIONAL MEDICAL CENTER,23,357,16314235,3234800,2812714
30130,BANNER IRONWOOD MEDICAL CENTER,2021,90,2999157,697777,497954
30131,OASIS HOSPITAL,20,690,24755816,8183013.001,6843604
40001,SILOAM SPRINGS REGIONAL HOSPITAL,1294,473,11143585,2926368,2380350
40002,JOHNSON REGIONAL MEDICAL CENTER,1295,343,2894596,1988126,1588024
40004,WASHINGTON REGIONAL MED CTR AT NORTH HILLS,27,3407,106453253,28955241,23767596
40007,ST VINCENT INFIRMARY MEDICAL CENTER,28,5809,188758927,54096880,46891814
40010,MERCY MEDICAL CENTER,29,1986,47138672,15786929,13369571
40011,CHAMBERS MEMORIAL HOSPITAL,1296,781,4538175,4448533,3922193
40014,WHITE COUNTY MEDICAL CENTER,763,4159,88127927,30698105,26070213
40015,MENA REGIONAL HEALTH SYSTEM,2022,319,3911246,1936297,1704753
40016,UAMS MEDICAL CENTER,28,3339,83012264,37335574,33389300
40017,NORTH ARKANSAS REGIONAL MEDICAL CENTER,1297,1347,25624443,9627432,8261090
40018,SUMMIT MEDICAL CENTER,2023,267,8327297,1279243,1010274
40019,FORREST CITY MEDICAL CENTER,2024,205,3068773,1030624,856924
40020,ST BERNARDS MEDICAL CENTER,30,5118,68872037,45326015,40143438
40022,"NW ARKANSAS HOSPITALS, LLC",31,3605,153051806,28692633,24140954
40026,ST JOSEPHS MERCY HEALTH CENTER INC,32,3823,116697390,30803086,26699620
40027,BAXTER REGIONAL MEDICAL CENTER,33,3706,64620911,25752863,21907507
40029,CONWAY REGIONAL MEDICAL CENTER,34,2369,48295623,17953419,15562134
40036,BAPTIST HEALTH MEDICAL CENTER NORTH LITTLE ROCK,35,3693,81789676,26073994,22120524
40039,ARKANSAS METHODIST MEDICAL CENTER,1013,1307,19486965,7946039,6773819
40041,ST MARYS REGIONAL MEDICAL CENTER,303,1616,54554190,11580824,9795086
40042,CRITTENDEN MEMORIAL HOSPITAL,1298,730,18043776,5952618,5341247
40047,FIVE RIVERS MEDICAL CENTER,1656,168,1864205,1093644,951888
40050,OUACHITA COUNTY MEDICAL CENTER,764,433,6495348,2501529,2106152
40051,DREW MEMORIAL HOSPITAL,1299,597,4433494,3118293,2598484
40055,SPARKS REGIONAL MEDICAL CENTER,36,4453,120943825,33991694,28856909
40062,ST EDWARD MERCY MEDICAL CENTER,36,3441,95001526,28852815,24129102
40067,MAGNOLIA HOSPITAL,1300,358,3867290,2088030,1806209
40069,GREAT RIVER MEDICAL CENTER,853,317,3937714,2933484,2626960
40071,JEFFERSON REGIONAL MEDICAL CENTER,397,2133,77294063,18059021,16032858
40072,BAPTIST HEALTH MEDICAL CENTER-STUTTGART,1301,517,5250350,3263153,2800582
40074,NORTH METRO MEDICAL CENTER,1901,288,4248919,1530951,1310339
40076,HOT SPRING COUNTY MEDICAL CENTER,1302,672,8791985,3524207,2986819
40078,NATIONAL PARK MEDICAL CENTER,32,1636,91363585,13102321,11341713
40080,HARRIS HOSPITAL,1818,557,12880732,3196712,2775548
40084,SALINE MEMORIAL HOSPITAL,1303,1700,30859506,11764577,10104435
40085,HELENA REGIONAL MEDICAL CENTER,1304,379,10365832,2247513,1835120
40088,MEDICAL CENTER SOUTH ARKANSAS,37,1492,58446038,11062819,9373154.001
40091,MEDICAL PARK HOSPITAL,1305,370,6743263,2452405,2201481
40114,BAPTIST HEALTH MEDICAL CENTER-LITTLE ROCK,28,7689,215233029,63423442,53710087
40118,NEA BAPTIST MEMORIAL HOSPITAL,30,1985,56792592,17325328,15176526
40119,WHITE RIVER MEDICAL CENTER,38,2396,68183925,20824375,18380901
40134,ARKANSAS HEART HOSPITAL,28,3529,104608965,29820751,25748822
40137,ST VINCENT MEDICAL CENTER/NORTH,1657,494,10058117,2724141,2247439
40147,ARKANSAS SURGICAL HOSPITAL,2357,1308,39967501,14092523,11377043
40152,PHYSICIANS' SPECIALTY HOSPITAL,27,217,10092405,2627475,2256318
50002,ST ROSE HOSPITAL,1015,1290,118074491,19920748,18720110
50006,ST JOSEPH HOSPITAL,39,1435,88428555,20075137,18359033
50007,PENINSULA MEDICAL CENTER,766,2320,140067476,27721213,24610824
50008,CALIFORNIA PACIFIC MEDICAL CTR-DAVIES CAMPUS HOSP,82,242,19856996,3170860,2888800
50009,QUEEN OF THE VALLEY MEDICAL CENTER,1016,1819,147173914,23758496,21622100
50013,ST HELENA HOSPITAL,40,1715,151468987,28466683,25954164
50014,SUTTER AMADOR HOSPITAL,1017,546,21868439,5491814,4953935
50016,"MARIAN REGIONAL MEDICAL CENTER, ARROYO GRANDE",1306,769,40098358,7178566,6317867.999
50017,MERCY GENERAL HOSPITAL,41,2783,224719257,43014397,35551861
50018,PACIFIC ALLIANCE MEDICAL CENTER,67,728,21734366,9926950,9366543
50022,RIVERSIDE COMMUNITY HOSPITAL,42,3097,253663518,41296428,36406048
50024,PARADISE VALLEY HOSPITAL,1018,3186,120044546,33313197,30802374
50025,UNIVERSITY OF CALIFORNIA SAN DIEGO MEDICAL CENTER,48,3152,157371740,59693886,56829198
50026,GROSSMONT HOSPITAL,43,5465,333589082,60182958,52791296
50028,MAD RIVER COMMUNITY HOSPITAL,1954,239,6671218,1900402,1626980
50030,OROVILLE HOSPITAL,1307,2606,122798434,26141980,24187060
50036,BAKERSFIELD MEMORIAL HOSPITAL,44,2200,141813261,26364247,23314928
50038,SANTA CLARA VALLEY MEDICAL CENTER,772,1137,80398110,28494003,27500756
50039,ENLOE MEDICAL CENTER,45,4677,271267300,48017651,43673002
50040,LAC/OLIVE VIEW-UCLA MEDICAL CENTER,2278,215,9488202,4027040,3876660
50042,ST ELIZABETH COMMUNITY HOSPITAL,1308,741,29592802,7350702,6678860
50043,ALTA BATES SUMMIT MEDICAL CENTER,767,3366,253367828,51890444,47656634
50045,EL CENTRO REGIONAL MEDICAL CENTER,1019,1712,83310318,19520476,18095350
50046,OJAI VALLEY COMMUNITY HOSPITAL,2279,73,3471657,830345,757924.9999
50047,CALIFORNIA PACIFIC MEDICAL CTR-PACIFIC CAMPUS HOSP,82,2917,236872702,52194715,46622241
50054,SAN GORGONIO MEMORIAL HOSPITAL,1309,386,12190091,3615264,3284929
50055,CALIFORNIA PACIFIC MEDICAL CTR - ST. LUKE'S CAMPUS,82,424,27929761,6404124,5908660
50056,ANTELOPE VALLEY HOSPITAL MED CENTER,768,2871,129830838,34154231,30784077
50057,KAWEAH DELTA MEDICAL CENTER,46,4639,222373243,55645227,49731086
50058,GLENDALE MEM HOSPITAL & HLTH CENTER,66,2469,175953097,36083924,33766828
50060,COMMUNITY REGIONAL MEDICAL CENTER,51,5181,240003297,72819023,67466208
50063,HOLLYWOOD PRESBYTERIAN MEDICAL CENTER,67,1828,118454317,31537485,29964701
50067,OAK VALLEY DISTRICT HOSPITAL,2025,53,2650009,635956,520027
50069,ST JOSEPH HOSPITAL,39,2620,171041896,35113047,31341904
50070,KAISER FOUNDATION HOSPITAL - SOUTH SAN FRANCISCO,2392,40,1246973,502554.0001,466886.0001
50071,KAISER FOUNDATION HOSPITAL-SANTA CLARA,1020,151,6089122,2970530,2834938
50072,KAISER FOUNDATION HOSPITAL - WALNUT CREEK,773,88,3540554,1117613,1042905
50073,KAISER FOUNDATION HOSPITAL AND REHAB CENTER,1021,208,9154328,2439258,2281606
50075,KAISER FOUNDATION HOSPITAL OAKLAND/RICHMOND,767,248,10051055,4023365,3812127
50076,KAISER FOUNDATION HOSPITAL - SAN FRANCISCO,82,97,3899065,1955770,1881182
50077,SCRIPPS MERCY HOSPITAL,48,4925,317352401,64496915,58591836
50078,PROVIDENCE LITTLE CO OF MARY MED CTR SAN PEDRO,1022,745,54738512,8502442.001,7734007.001
50079,DOCTORS MEDICAL CENTER-SAN PABLO,769,1611,106470366,20406417,19074979
50082,ST JOHNS REGIONAL MEDICAL CENTER,49,2414,159411685,28897890,25848636
50084,ST JOSEPHS MEDICAL CENTER OF STOCKTON,50,3720,307937558,48333549,44256049
50089,COMMUNITY HOSPITAL OF SAN BERNARDINO,1026,417,25681559,5519482,5205289
50090,SONOMA VALLEY HOSPITAL,1310,277,12211885,3479830,3219990
50091,COMMUNITY HOSPITAL OF HUNTINGTON PARK,1955,298,10825714,1951842,1719357
50093,SAINT AGNES MEDICAL CENTER,51,7127,326026564,79446620,71191856
50096,"DOCTORS HOSPITAL OF WEST COVINA, INC",2370,28,1086116,321529,292677
50099,SAN ANTONIO COMMUNITY HOSPITAL,52,2177,108379579,23157137,20960229
50100,SHARP MEMORIAL HOSPITAL,48,3132,216575713,40956021,34168379
50101,SUTTER SOLANO MEDICAL CENTER,1021,691,45283077,9956414,9118192
50102,PARKVIEW COMMUNITY HOSPITAL MEDICAL CENTER,42,916,65815600,14435651,13206602
50103,WHITE MEMORIAL MEDICAL CENTER,67,2400,195797975,37725105,35763370
50104,SAINT FRANCIS MEDICAL CENTER,195,1725,89875568,25159762,23725341
50107,MARIAN REGIONAL MEDICAL CENTER,53,1981,120155075,24317744,21918502
50108,SUTTER GENERAL HOSPITAL,41,4418,325526474,66642563,60831076
50110,LOMPOC VALLEY MEDICAL CENTER,1311,478,8251633,4402604,3870538
50111,TEMPLE COMMUNITY HOSPITAL,67,960,38659577,9318271,8603197
50112,SANTA MONICA - UCLA MED CTR & ORTHOPAEDIC HOSPITAL,69,2897,168476925,37872112,34053047
50113,SAN MATEO MEDICAL CENTER,2345,11,177788,97571,88371
50115,PALOMAR HEALTH DOWNTOWN CAMPUS,770,2592,144728722,28846309,25345783
50116,NORTHRIDGE HOSPITAL MEDICAL CENTER,1024,2592,218024505,33476015,30502479
50118,DOCTORS HOSPITAL OF MANTECA,1312,1064,86840378,8032408,6859371
50121,ADVENTIST MEDICAL CENTER,771,2891,108199166,29373957,26467017
50122,DAMERON HOSPITAL,50,903,95652074,12064993,10998730
50124,VERDUGO HILLS HOSPITAL,66,976,34798634,8178775,7179423
50125,REGIONAL MEDICAL CENTER OF SAN JOSE,772,3299,424818416,59228123,55103718
50126,VALLEY PRESBYTERIAN HOSPITAL,1025,1851,99729853,28723633,26856004
50127,WOODLAND MEMORIAL HOSPITAL,1313,267,17613512,3539664,3179130
50128,TRI-CITY MEDICAL CENTER,54,2633,133228275,28431862,26026245
50129,ST BERNARDINE MEDICAL CENTER,1026,1924,131663872,26740579,24948531
50131,NOVATO COMMUNITY HOSPITAL,1819,438,28567033,5262259,4709012
50132,SAN GABRIEL VALLEY MEDICAL CENTER,1027,1623,149865984,22797906,21504197
50133,RIDEOUT MEMORIAL HOSPITAL,55,4008,208314337,46759680,42134063
50135,HOLLYWOOD COMMUNITY HOSPITAL OF HOLLYWOOD,1794,1802,41540789,20239659,19021162
50136,PETALUMA VALLEY HOSPITAL,1314,609,43472190,6341411,5753166
50137,KAISER FOUNDATION HOSPITAL - PANORAMA CITY,1333,48,1368550,595829,559101
50138,KAISER FOUNDATION HOSPITAL - LOS ANGELES,67,36,1647540,618739.0001,592801
50139,KAISER FOUNDATION HOSPITAL - DOWNEY,1047,76,2529968,750596.9997,679284.0001
50140,KAISER FOUNDATION HOSPITAL FONTANA,1315,322,8688056,3554966,3312327
50145,COMMUNITY HOSPITAL OF THE MONTEREY PENINSULA,56,2745,192616467,38316962,33689220
50149,CALIFORNIA HOSPITAL MEDICAL CENTER LA,67,713,30576604,10022602,9470859
50150,SIERRA NEVADA MEMORIAL HOSPITAL,1028,1666,76576945,16012407,14356918
50152,SAINT FRANCIS MEMORIAL HOSPITAL,82,999,103606916,16743570,15749058
50153,O'CONNOR HOSPITAL,772,2187,204575126,36525332,33955191
50158,ENCINO HOSPITAL MEDICAL CENTER,1029,435,25478369,5250138.999,4600861.001
50159,VENTURA COUNTY MEDICAL CENTER,78,396,18098388,5770334,5424345
50167,SAN JOAQUIN GENERAL HOSPITAL,1030,319,17920155,5756517,5501175.999
50168,ST JUDE MEDICAL CENTER,57,2804,178912359,30970522,27393606
50169,PRESBYTERIAN INTERCOMMUNITY HOSPITAL,1031,2014,195606437,24986339,21263085
50174,SANTA ROSA MEMORIAL HOSPITAL,58,3066,283504075,42083942,38647326
50179,EMANUEL MEDICAL CENTER INC,1316,2238,176380725,23669605,21434607
50180,JOHN MUIR MEDICAL CENTER - WALNUT CREEK CAMPUS,773,3694,440707456,53111922,47121896
50189,GEORGE L MEE MEMORIAL HOSPITAL,2388,11,295817.0001,134626,126606
50191,ST MARY MEDICAL CENTER,597,991,62032976,13848820,13026586
50192,ADVENTIST MEDICAL CENTER - REEDLEY,2197,70,1768368,419277,341780
50194,WATSONVILLE COMMUNITY HOSPITAL,1032,688,66343148,9982257,9271385
50195,WASHINGTON HOSPITAL,59,3400,437174239,51482844,47407738
50197,SEQUOIA HOSPITAL,60,1564,162140530,20082497,17680346
50204,PALMDALE REGIONAL MEDICAL CENTER,1033,1802,97797136,18043885,16321881
50205,EAST VALLEY HOSPITAL MEDICAL CENTER,1795,405,16672295,3578351,3248681
50211,ALAMEDA HOSPITAL,1317,807,34237456,8581674,7952565
50222,SHARP CHULA VISTA MEDICAL CENTER,61,2830,201957765,32758955,28774006
50224,HOAG MEMORIAL HOSPITAL PRESBYTERIAN,62,3936,186310474,45539814,40184756
50225,FEATHER RIVER HOSPITAL,63,1670,162469857,17135587,15384638
50226,AHMC ANAHEIM REGIONAL MEDICAL CENTER,1034,1893,154076060,19805596,17613176
50228,SAN FRANCISCO GENERAL HOSPITAL,82,1036,75800626,18838999,17554892
50230,GARDEN GROVE HOSPITAL & MEDICAL CENTER,1035,929,53776551,15622777,14840124
50231,POMONA VALLEY HOSPITAL MEDICAL CENTER,774,1878,212923003,32176506,29758597
50232,FRENCH HOSPITAL MEDICAL CENTER,64,1232,82126772,12342961,10825552
50234,SHARP CORONADO HOSPITAL AND HLTHCR CTR,1956,327,17998706,3748770.001,2840129.001
50235,PROVIDENCE SAINT JOSEPH MEDICAL CTR,65,4198,446989115,51681482,46593786
50236,SIMI VALLEY HOSPITAL & HEALTH CARE SERVICES,1318,1109,65968814,11156841,9773657
50238,METHODIST HOSPITAL OF SOUTHERN CA,775,3796,246108292,45926939,41832241
50239,GLENDALE ADVENTIST MEDICAL CENTER,66,3702,313955472,53105488,49341201
50242,DOMINICAN HOSPITAL,1036,2926,228271729,36644876,33304222
50243,DESERT REGIONAL MEDICAL CENTER,1037,2034,154883321,20982106,18190838
50245,ARROWHEAD REGIONAL MEDICAL CENTER,776,1063,36362115,13741245,12786713
50248,NATIVIDAD MEDICAL CENTER,72,330,19817750,4255904.001,3779522
50254,MARSHALL MEDICAL CENTER (1-RH),1038,1547,143689921,18486880,16729555
50257,GOOD SAMARITAN HOSPITAL,416,632,11181129,5492141,5010055
50261,SIERRA VIEW DISTRICT HOSPITAL,1039,1467,71586713,15618646,13969858
50262,RONALD REAGAN UCLA MEDICAL CENTER,67,2427,191218605,55928874,51910605
50272,REDLANDS COMMUNITY HOSPITAL,1319,1057,58847723,11873279,10552786
50276,CONTRA COSTA REGIONAL MEDICAL CENTER,777,367,10488413,5910743,5606961
50277,PACIFIC HOSPITAL OF LONG BEACH,85,1412,43201775,15557303,14397969
50278,PROVIDENCE HOLY CROSS MEDICAL CENTER,778,2977,341342893,39382000,36441899
50279,HI-DESERT MEDICAL CENTER,1320,466,13674964,3986890,3553918
50280,MERCY MEDICAL CENTER REDDING,68,3486,222691459,52288975,48179997
